,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Extenstion Program,Irrigation used?,Is the Soil Erosion,Measures taken to prevent Soil Erosion,SEED TYPE,Is there Damage?,Measure taken to prevent damage,Damage measure taken type,Fertilizer Used?,Fertilizer Type,How many times do you produce crops,What was the field used for?,APERCENT,Household Id,Sampling Weight,Weight of non-improved seed,"If Chemical Fertilizer,Quantity in KG",CERROR,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
78,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,66.0,282.25,0.65,0.0,0.83,450.05,92.71000000000001,0.0
81,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,80.0,282.25,1.74,0.0,2.6,1196.6100000000001,246.502,0.0
83,1.0,1.0,1.0,9.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,80.0,282.25,1.17,0.0,1.99,811.94,167.26,0.0
84,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,87.0,282.25,1.58,0.0,1.14,1028.8899999999999,211.951,0.0
89,1.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,108.0,282.25,3.32,0.0,1.49,922.72,190.07999999999998,0.0
92,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,122.0,282.25,2.55,0.0,1.19,1763.2700000000002,363.23400000000004,0.0
94,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,129.0,282.25,10.614753325272067,0.0,0.43,267.36,55.076,0.0
95,1.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,143.0,282.25,1.47,0.0,0.76,1018.89,209.89100000000002,0.0
96,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,150.0,282.25,1.36,0.0,1.4,947.26,195.136,0.0
100,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,164.0,282.25,1.13,0.0,1.75,782.4499999999999,161.185,0.0
103,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,171.0,282.25,1.04,0.0,1.3,721.58,148.645,0.0
105,1.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,185.0,282.25,2.88,0.0,1.21,2001.5900000000001,412.3279999999999,0.0
108,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,192.0,282.25,1.37,0.0,1.07,952.6600000000001,196.248,0.0
110,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,206.0,282.25,1.72,0.0,4.18,1197.6000000000001,246.70600000000002,0.0
113,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,2.0,352.88,2.15,0.0,1.83,1420.28,282.636,0.0
117,1.0,1.0,1.0,13.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,75.0,18.0,352.88,2.2,0.0,0.24,4405.6,876.7140000000002,0.0
119,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,26.0,352.88,1.0,0.0,1.53,639.26,127.213,0.0
122,1.0,1.0,1.0,13.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,50.0,352.88,1.0,0.0,3.33,1734.75,345.21500000000003,0.0
